FIPS Code,Percent adults fully vaccinated against COVID-19,"Percent of adults with less than a high school diploma, 2015-19","Percent of adults with a high school diploma only, 2015-19","Percent of adults completing some college or associate's degree, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19",Percent Hispanic,Percent non-Hispanic American Indian/Alaska Native,Percent non-Hispanic Asian,Percent non-Hispanic Black,Percent non-Hispanic Native Hawaiian/Pacific Islander,Percent non-Hispanic White,Med_HH_Income_Percent_of_State_Total_2019,"Unemployment Rate, 2019","Median Household Income, 2019","Population Density, 2020","Average Household Size, 2020","Average Household Size of Owner-Occupied Unit, 2020","Average Household Size of Renter-Occupied Unit, 2020",Estimated percent of people of all ages in poverty 2019,Estimated percent of people age 0-17 in poverty 2019,Estimated percent of related children age 5-17 in families in poverty 2019,Percent Under 5 years,Percent 5 to 9 years,Percent 65 to 74 years,Percent 75 to 84 years,Percent 85 years and over,Percent 18 years and over,Percent 65 years and over,Median Age,Percent Male,Percent Female,Percent Households with 1+ Persons with Disability,Percent Total Civilian Noninstitutionalized Population - with a disability 65 and over ,Percent Total Civilian Noninstitutionalized Population - with a disability ,Percent of Households with Internet At Home,Percent Total Households with a computer ,Percent Total Households with a broadband Internet subscription ,Percent of Households with Limited English Speaking Status,Percent of Population with No Health Insurance Coverage,"Percent of Civilian Employed Population 16 Years and Over in Educational Instruction, and Library Occupations",Percent of Civilian Employed Population 16 Years and Over in Food Preparation and Serving Related Occupations,Percent of Civilian Employed Population 16 Years and Over in Healthcare Support Occupations,Percent of Civilian Employed Population 16 Years and Over in Healthcare Practitioners and Technical Occupations,"Percent of Civilian Employed Population 16 Years and Over in Natural Resources, Construction, and Maintenance Occupations",Percent of Civilian Employed Population 16 Years and Over in Protective Service Occupations,"Percent of Civilian Employed Population 16 Years and Over in Production, Transportation and Material Moving Occupations",Latitude,Longitude,Population,Average Household Size of Owner-Occupied Unit,Average Household Size of Renter-Occupied Unit,Percent Renter-occupied Units,"Percent Population Enrollment in - Nursery, Preschool",Percent Population Enrollment in - Kindergarten,Percent Population Enrollment in - Grade 1-4,Percent Population Enrollment in - Grade 5-8,Percent Population Enrollment in - Grade 9-12,Percent Population Enrollment in - College,Percent Population Enrollment in - Grad/Prof,Percent Population Enrollment in - Elementary school (grades 1-8),Percent Population Enrollment in - High school (grades 9-12),Percent Population Enrollment in - College or graduate school,Percent Grandparents responsible for grandchildren,Percent Total Households - With Supplemental Security Income,Percent Total Households - With cash public assistance income,Percent Total Households - With Food Stamp/SNAP benefits in the past 12 months,Percent Total Population - Worked at home,Percent population with Income to Poverty Ratio < 0.50,Percent population with Income to Poverty Ratio 0.50-0.99,Percent population with Income to Poverty Ratio 1.00-1.24,Percent population with Income to Poverty Ratio 1.50-1.84,Percent population with Income to Poverty Ratio 1.85-1.99,Percent population with Income to Poverty Ratio 2.00+,"Percentage of families whose income in the past 12 months is below the poverty level with female householder, no husband present) - With related children of the householder under 18 years","Percentage of families whose income in the past 12 months is below the poverty level with female householder, no husband present) - With related children of the householder under 5 years only",Percentage of people whose income in the past 12 months is below the poverty level - 65 years and over,Percentage of people whose income in the past 12 months is below the poverty level - Related children of the householder under 5 years,Percent Households: Income Below Poverty Level ,Percentage of people whose income in the past 12 months is below the poverty level,Percent of Civilian noninstitutionalized population with Health Coverage,Percent of Total Civilian Noninstitutionalized Population - With health insurance coverage,Percent of Total Civilian Noninstitutionalized Population - With private health insurance,Percent of Total Civilian Noninstitutionalized Population - With public coverage,Percent of Total Civilian Noninstitutionalized Population - No health insurance coverage
8075,0.166,10.40580654,33.74464035,35.63840485,20.21115112,0.1675,0.0076,0.0083,0.0083,0.0094,0.762,75.77946472,2.3,58429,34.4162569,2.47,2.55,2.26,12.9,16.3,17.1,0.073726542,0.042672029,0.090974084,0.049687221,0.030831099,0.794548704,0.171492404,38.2,0.540035746,0.459964254,26.9,303.8454743,660.0340764,83.9,1589.230985,1494.9708,0.4,9.2,5.9,6.6,4.5,6,1.9,7,13.8,40.7247,-103.1101,22380,2.69,2.28,34.8,0.015951743,0.01103664,0.033243968,0.036997319,0.048436104,0.060187668,0.003529937,0.070241287,0.048436104,0.063717605,0.006478999,8.65257732,0.477319588,0.254639175,0.026094727,0.037086685,0.08360143,0.057596068,0.072386059,0.023994638,0.614298481,37.9,62.2,7.3,26.5,13.5,12.6,0.979043789,0.888605898,0.595218945,0.407864164,0.090437891
39015,0.294,12.13507557,45.58799362,27.36727715,14.90965366,0.0105,0.0012,0.0028,0.0081,0,0.964,99.55198669,5,58441,21.84206736,2.39,2.41,2.35,12.1,18,16.4,0.057651703,0.053796016,0.102910126,0.055999266,0.022399706,0.770173506,0.181309098,42.1,0.497590196,0.502409804,34.1,88.37249868,213.4455077,75.8,449.1152133,390.3943968,0,7.8,5.3,6.4,5.4,6,1.5,3.4,21.1,38.934,-83.8674,43572,2.52,2.13,27.6,0.010350684,0.009432663,0.040415863,0.057330396,0.052832094,0.027976682,0.004842559,0.097746259,0.052832094,0.032819242,0.014550629,7.816308637,0.43226655,0.220955721,0.025520977,0.057445148,0.093041403,0.048723951,0.059074635,0.029675021,0.659689709,53.4,70.6,9.5,26.5,14.8,15.3,0.987262462,0.909919214,0.639309648,0.391191591,0.077343248
17157,0.336,15.6640377,37.31400681,33.70283508,13.31912136,0.0314,0.0018,0.0059,0.1007,0.0001,0.8485,84.44200134,3.5,58444,0.16681479,3.27,3.53,2.86,12.7,16.9,16,0.049543273,0.052206224,0.10020127,0.054095061,0.030592971,0.807555349,0.184889302,41.6,0.553553182,0.446446818,30.8,100.0845653,214.104372,77.7,464.7541454,419.672255,0.3,5.2,4.1,5,3.6,5.8,1.4,4.3,22.3,38.0521,-89.8252,32295,2.43,2.25,26,0.011673634,0.010342158,0.044093513,0.040997058,0.047809258,0.033101099,0.007431491,0.085090571,0.047809258,0.04053259,0.009165505,7.573613767,0.42319949,0.186743149,0.011178201,0.040656448,0.07118749,0.045765598,0.046384889,0.030221397,0.599783248,32,34.9,7.4,22.4,11,12.7,0.883851989,0.837559994,0.624059452,0.375909584,0.046291996
2180,0.713,15.43478298,41.12318802,27.30072403,16.14130402,0.0274,0.7435,0.0153,0.0083,0.0014,0.1466,75.72763062,9.8,58464,21.69042745,2.65,2.69,2.53,20.7,26.1,24.9,0.098818582,0.099819784,0.049359231,0.018321986,0.002603124,0.656187425,0.070284341,28.3,0.526832199,0.473167801,29.1,1953.684441,5646.624544,74.1,15367.39591,12555.99635,1.4,20.7,12.7,5.8,3.9,4,1.3,3.7,10.5,64.9111,-164.0272,9988,3.57,2.89,39.5,0.022627153,0.021325591,0.080596716,0.077092511,0.067681217,0.017020425,0.007709251,0.157689227,0.067681217,0.024729676,0.031437725,3.111597374,0.226477024,0.350109409,0.017621145,0.088506207,0.119743692,0.05546656,0.088305967,0.021726071,0.522226672,28.8,19.1,9.3,26.4,19.7,21.5,0.977272727,0.775130156,0.377553064,0.45814978,0.202142571
51053,0.211,16.84308052,36.00799942,28.50104904,18.64787102,0.0348,0,0.0088,0.3182,0.0007,0.6185,76.46559143,3.1,58474,72.94679147,2.67,2.79,2.46,10.7,15.1,14,0.052905038,0.054590135,0.10272073,0.055608215,0.013129717,0.795120239,0.171458662,43.2,0.491241004,0.508758996,30.8,82.37622901,196.5025841,75.3,408.99477,355.0241372,1.2,9.8,4.2,3.9,2.9,6,2.3,3.9,22,37.0759,-77.6323,28485,2.66,2.69,22.8,0.007898894,0.007056345,0.047744427,0.04753379,0.046164648,0.054870985,0.005652098,0.095278217,0.046164648,0.060523082,0.019694576,8.164050235,0.441130298,0.105180534,0.011620151,0.052799719,0.065543268,0.043040197,0.08436019,0.043040197,0.664595401,38.4,60.5,10.1,19.5,13,12.1,0.988730911,0.892153765,0.694856942,0.333754608,0.096577146
5045,0.347,8.166707993,30.46303558,30.81363869,30.55661774,0.0409,0.0038,0.0133,0.1134,0.0012,0.8004,119.3023224,3,58482,0.595220999,2.37,2.41,2.29,14.4,15.9,14.2,0.061800298,0.067818547,0.074160357,0.034556397,0.013088074,0.767545137,0.121804828,32.8,0.488521646,0.511478354,28.7,81.78956507,236.9657507,80.9,549.9924031,486.7056061,0.6,8.8,7.3,6.3,2.6,7.6,1.2,1.1,13.3,35.147,-92.332,123624,2.77,2.48,37.7,0.017423801,0.01269171,0.054131884,0.049132854,0.048898272,0.097456805,0.017480425,0.103264738,0.048898272,0.114937229,0.010823141,10.76950954,0.516066683,0.145928968,0.014883841,0.068020773,0.091964343,0.052408917,0.057359412,0.023652365,0.61704847,34.1,43.7,12.3,19.8,17.6,16.7,0.988044393,0.901240859,0.679730473,0.334845985,0.086803533
20071,0.492,12.9629631,26.91357994,32.9629631,27.16049385,0.2473,0.0059,0,0,0,0.7451,94.29934692,2.2,58492,14.56857294,2.48,2.51,2.37,10.9,16.3,15.5,0.064978903,0.069198312,0.089451477,0.066666667,0.048945148,0.739240506,0.205063291,42.2,0.502953586,0.497046414,36.4,156.5209513,362.3800285,81.3,748.5784626,717.9547982,4.6,5.5,7,2.7,3.6,6.3,6,2.4,7.2,38.4806,-101.806,1185,2.17,2.32,37,0.018565401,0.007594937,0.057383966,0.070042194,0.067510549,0.014345992,0.006751055,0.12742616,0.067510549,0.021097046,0.008438819,24.71428571,0.666666667,0,0.038818565,0.051476793,0.021097046,0.051476793,0.064135021,0.04556962,0.691983122,33.3,0,1.9,10.4,5.8,7.5,0.973839662,0.919831224,0.785654008,0.291983122,0.054008439
51163,0.12,13.18558598,33.6664505,26.47698593,26.67097855,0.0191,0.0038,0.0066,0.0327,0,0.9218,76.50089264,2.6,58501,12.36463646,2.51,2.51,2.5,11.5,16.6,14.8,0.04342047,0.054408507,0.139034116,0.08201152,0.03389455,0.82295082,0.254940186,49,0.497430217,0.502569783,26.6,103.8468213,213.5123505,77.2,530.8030668,478.9823392,0.6,8.4,6.4,5.7,4,5.7,2.5,1.5,14.9,37.8145,-79.4473,22570,2.4,2.46,24.8,0.01395658,0.011120957,0.037261852,0.036951706,0.048338502,0.033229951,0.009570226,0.074213558,0.048338502,0.042800177,0.015463004,11.30562347,0.567237164,0.166259169,0.028311918,0.058972087,0.081346921,0.043464776,0.064687638,0.029995569,0.647806823,41.4,53.2,7.9,23.3,10.8,14.2,0.99087284,0.908019495,0.685999114,0.404873726,0.082853345
53041,0.328,12.47140598,29.10354996,40.70318222,17.72186089,0.1024,0.0056,0.0123,0.0045,0.0018,0.8339,74.38925171,6.1,58525,32.29088126,2.64,2.56,2.76,12.2,14.6,13.2,0.058685776,0.055243458,0.124640092,0.059543157,0.022944526,0.784272826,0.207127775,43.1,0.500134366,0.499865634,36.5,561.0378279,1192.394521,81.1,2184.185168,1953.478768,1.1,7.3,5.2,6.8,4.7,4.2,1.2,2.2,17.3,46.5778,-122.3927,78145,2.54,2.45,29.4,0.015458443,0.010058225,0.045006078,0.049958411,0.05206987,0.035178194,0.007102182,0.094964489,0.05206987,0.042280376,0.009367202,5.269879518,0.366092943,0.196557659,0.017045236,0.052786487,0.076063728,0.056804658,0.063510141,0.03429522,0.648563568,37.5,51.2,6.7,20.8,13.4,13.1,0.989199565,0.916731717,0.610007038,0.482807601,0.072467848
13039,0.334,8.674060822,32.18650436,35.26420593,23.87522697,0.0673,0.0052,0.0192,0.1864,0.0011,0.698,94.51493073,3.7,58552,0.422841718,2.42,2.37,2.58,13.8,20.3,19.3,0.071762695,0.068193346,0.082151378,0.037534519,0.007345344,0.759219252,0.127031241,32.8,0.516522327,0.483477673,25.4,70.62944987,194.7753522,84.4,549.1186713,500.14115,0.2,12.2,6.6,7.6,2.2,6,1.7,2.4,12.6,30.9306,-81.67,53231,2.58,2.81,37.5,0.016212357,0.010651688,0.058499746,0.046871184,0.055287333,0.030207962,0.014803404,0.10537093,0.055287333,0.045011366,0.009637241,7.61038961,0.299881936,0.070444707,0.011666134,0.07886382,0.07069189,0.039375552,0.07572655,0.018973906,0.628111439,56.6,66,9,26.3,14,15.5,0.921342827,0.80868291,0.613589825,0.306062257,0.112659916
